relative_path,bytes,sha256,description
manga_two_layers_paper10_final.md,15270,95943006f9f8fa24a2968cd1ecec70eed599615f5cf7e589e1f82379ec97f4b1,"Main paper: Two Layers of Galaxy Aging in MaNGA DynPop — A Principle-Level Proof of Concept."
manga_two_layers_paper10_supplementary_appendix.md,63888,68c7583eea9a31656ce6f24c1f209a21a369e43230b6d9420fa292c3cd16a8a0,"Supplementary appendix: detailed methodology, literature passes, control-variable specifications, limitation analyses, and sensitivity documentation."
00_strict_control_rerun/run_clean_controls_fast.py,11166,6b92f82f813a635aafde72e3276598085a74cc667b55b89bf42dcd30122229ab,"Strict-control rerun pipeline: builds the collinearity-free reduced-control model, controlled dynamical-residual young/old quartile split, bootstrap and within-bin age-shuffle nulls, cross-validated age gain, and Spearman rank check."
00_strict_control_rerun/manga_paper10_strict_control_primary_summary.csv,867,03ce56ecb41200a025aa9a3c7de8221e4b95d58fdda47dc4df7b18f862c9335f,"Primary strict-control summary: young-vs-old controlled-residual scoreboard for the intrinsic, observed, and both-SPS control sets (7/8 bins each)."
00_strict_control_rerun/manga_paper10_strict_control_residual_scoreboard.csv,1517,6c364973d8c9529e24109e358f0e66f5b93e4b718c790648f681334bc65c5acc,"Controlled-residual scoreboard with bootstrap 95% intervals and shuffle-null distribution statistics for the three strict-control SPS sets."
00_strict_control_rerun/manga_paper10_strict_control_residual_perbin.csv,6049,01a4ffb0f10527e51cbe0623ff89d4a73db4cba148b1930a6ffe5f16dc379b5e,"Per-bin controlled dynamical residual table across the eight stellar-mass bins for each strict-control set; bin 5 (median logM ~ 10.663) is the lone non-decisive bin."
00_strict_control_rerun/manga_paper10_strict_control_model_terms.csv,1347,66580a1097cf2f4c9145a0a48808d831c899567cadf87257346c896359816251,"Controlled-model term table: standardized T50 coefficient, robust SE/t/p, model R2, cross-validated delta-R2 from age, and Spearman rho for each SPS control set."
00_strict_control_rerun/manga_paper10_strict_control_age_coefficients_rawY.csv,437,b8e918b1ea9392a8f02c401bb95a240bd558afe095afba1d100549d34fab9e3c,"Age (T50) coefficients on the raw dynamical-M/L outcome per 1 SD of T50, with robust SE, p-value, and model R2 for each control set."
00_strict_control_rerun/manga_paper10_strict_control_sensitivity_grid.csv,1790,34f24ecce1ec049469243bd83754eaf3c0bdf7caa71ed0ea498c724ea17ab9f5,"Reduced-spec sensitivity grid (metallicity weighting x flattening term x SPS set): all 12 variants give 7/8 bins, confirming the strict-control family is stable at 7/8."
00_strict_control_rerun/manga_paper10_strict_control_claude_handoff.md,4847,244daf9c10244c5969e2d21e295aef4ba825f44af37e993be1b93726e80c9958,"Handoff note documenting the strict-control specification choice, the main 7/8-bin result, age/CV/rank checks, the single non-decisive bin, and the main-text recommendation."
01_clean_pipeline_v0_6/manga_two_layers_clean_pipeline_draft_v0_6.md,59025,52a55e562a709e912b515e75bd1e0ad37482a58eccec9ba9936384d1599a1244,"Clean-pipeline v0.6 working draft of the two-layer note (superseded by the final paper; retained as provenance)."
01_clean_pipeline_v0_6/manga_two_layers_v0_6_revision_notes.md,1271,1a270e2569018843173373808bfb3d0ffa1366440b7dba5c5f6ac1a3a77b6946,"v0.6 revision notes: abstract tightening, framework-language changes, and integration of the simulation/assembly-bias pass."
01_clean_pipeline_v0_6/manga_two_layers_v0_5_to_v0_6.diff,15513,e89591a36e241c8716d52f6f36133f7914ea518b4024fa760340f15df2dd3025,"Unified diff from draft v0.5 to v0.6."
01_clean_pipeline_v0_6/manga_simulation_assembly_bias_pass.md,3316,fedf16f145f496818f3f682c64a987aee97027d7d4dd64f30f0f0175c561dc8d,"Simulation and assembly-bias literature pass: no exact mock-MaNGA/JAM/SPS controlled-residual comparator located; the residual is unbenchmarked against cosmological mocks, not proven anomalous relative to LambdaCDM."
01_clean_pipeline_v0_6/manga_sledgehammer_final_report.md,8483,e8038b9ec6c7704457d24c2a16639fd7000a16c901a26fd1ed38854a1d04c830,"Primary DML sledgehammer report: fixed-mass young/old DML split, 8/8 observed-SPS and 6/8 intrinsic-SPS bins, plus the secondary fDM checks."
01_clean_pipeline_v0_6/manga_sledgehammer_final_scoreboard.csv,1384,f1ee1b0254b2c4ebe63b289ef6635533a1d47619527ce94c64a583cccbc55b69,"DML sledgehammer scoreboard for the observed- and intrinsic-SPS definitions."
01_clean_pipeline_v0_6/manga_sledgehammer_final_bin_results.csv,3894,e6920a67f309d4409d528fe0075c8082f11f14b95dc76b5c70867fb8eb57bd15,"Per-bin DML results across the eight stellar-mass bins."
01_clean_pipeline_v0_6/manga_sledgehammer_final_kitchen_table_DML.png,117485,2f10eebf7d819dd175f88b404c448e540fdcac432430b99519def0f333d70e5c,"Figure: kitchen-table plot of young and old median DML across the eight mass bins for both SPS definitions."
01_clean_pipeline_v0_6/manga_sledgehammer_final_overall_mass_adjusted_DML.png,55468,f19e649fa669f3866d4e5cd82f93ae63cbaa8a96fb1a6eff88d397751647b475,"Figure: overall mass-adjusted young/old DML comparison with bootstrap intervals."
01_clean_pipeline_v0_6/manga_sledgehammer_final_bin_differences_DML.png,63458,138da637407c9095bcfa3057456acc7a1f37c94772af6197c47936d7cfb0d839,"Figure: per-bin young-minus-old DML differences."
01_clean_pipeline_v0_6/manga_ml_split_hardening_final_report.md,31011,e2e0919a02dbb1da9a6f6a2dbb387eb63787be228a3fd3bea1b7e8324cebdb56,"M/L split and controlled-residual hardening report: numerator/denominator decomposition and the (kitchen-sink) controlled dynamical residual."
01_clean_pipeline_v0_6/manga_ml_split_hardening_scoreboard.csv,1922,59fc890e1ab5df498d9085553114c21670282fb90b1bfa755ca02691f2b0505b,"Raw M/L component split scoreboard: JAM dynamical logM/L, intrinsic SPS, and observed SPS log M*/L."
01_clean_pipeline_v0_6/manga_ml_split_hardening_control_residual_scoreboard.csv,947,9631f5140edc41ecb6b8a4c4c2864fcc710b0a1aff3038d7cf556e12ecd03df6,"Kitchen-sink controlled dynamical-residual scoreboard (8/8 original specification; retained as supplementary sensitivity)."
01_clean_pipeline_v0_6/manga_ml_split_hardening_per_bin.csv,7088,cdb3a574ca4f32c06829198b6d603338e2e2760b4d9859e113d8a0ffee3aca71,"Per-bin M/L split and controlled-residual table across the eight mass bins."
01_clean_pipeline_v0_6/manga_ml_split_hardening_kitchen_table.png,123164,aa6c1b0fdef75ab6789cfe4c57ef23bf3d9ade6b3546eeff83a6396e36b50b82,"Figure: M/L component split kitchen-table plot."
01_clean_pipeline_v0_6/manga_ml_split_hardening_DML_decomposition.png,133993,ebbc1d2e396d8e2dbb632888dc4e3cc4ec3f60fd1e719440e72e418b247c5aef,"Figure: DML component decomposition showing the SPS denominator dominates the raw signal."
01_clean_pipeline_v0_6/manga_ml_split_hardening_control_residuals.png,106960,d665fd372c9b3c0c95dd350d87a894ed7d67d81e828bd06e17b1e1c83f2e4971,"Figure: controlled dynamical M/L residuals, young vs old, after SPS/metallicity/structural controls."
01_clean_pipeline_v0_6/manga_ml_split_hardening_overall_mass_adjusted.png,91235,8e27d81c17b8105257590be625af0662142df7342ed265ce8f18e3728784d44c,"Figure: overall mass-adjusted controlled-residual young/old comparison."
01_clean_pipeline_v0_6/manifest_sha256.txt,1978,55d35175580e09f1614d3b70570271e0cd90427f2aa8e0f28b9652c3d7be274a,"SHA256 checksums for the original v0.6 clean-pipeline bundle files, as released."
